day_of_year,day_of_week,date,year,month,day,min_temp,max_temp,avg_temp,rain,snow,at_obs,rides_total,female_rides,male_rides,subscriber_rides,customer_rides,total_seconds,female_seconds,male_seconds,subscriber_seconds,customer_seconds
173,Sun,20140622,2014,06,22,82,63,72.5,0.0,0.0,0,13370,1950,3741,5693,7677,17324358,1844839,2806570,4652376,12671982
214,Sat,20140802,2014,08,02,86,59,72.5,0.0,0.0,0,17237,2336,4422,6758,10479,24300154,2212179,3555486,5767665,18532489
166,Sun,20140615,2014,06,15,84,60,72.0,0.0,0.0,0,10778,1452,3316,4768,6010,13632489,1284966,2521515,3806481,9826008
172,Sat,20140621,2014,06,21,84,60,72.0,1.28,0.0,0,11989,1747,3427,5174,6815,16408038,1562234,2791688,4353922,12054116
217,Tue,20140805,2014,08,05,80,64,72.0,0.0,0.0,0,12713,2344,6894,9236,3477,12549835,2026389,4647710,6671108,5878727
228,Sat,20140816,2014,08,16,82,62,72.0,0.0,0.0,0,14970,2043,4273,6308,8662,19679803,1878297,3402858,5187128,14492675
240,Thu,20140828,2014,08,28,77,67,72.0,0.0,0.0,0,12481,2364,7013,9377,3104,11348257,1868870,4858969,6727839,4620418
246,Wed,20140903,2014,09,03,83,61,72.0,0.0,0.0,0,11923,2344,6968,9314,2609,10873678,1984352,4780530,6765751,4107927
147,Tue,20140527,2014,05,27,85,58,71.5,0.21,0.0,0,8495,1414,4667,6081,2414,8453180,1315876,3144427,4460303,3992877
169,Wed,20140618,2014,06,18,82,61,71.5,0.65,0.0,0,8053,1581,4865,6448,1605,7115375,1258735,3385056,4644836,2470539
212,Thu,20140731,2014,07,31,84,59,71.5,0.0,0.0,0,14298,2574,7054,9628,4670,15065274,2277915,5106529,7384444,7680830
151,Sat,20140531,2014,05,31,88,54,71.0,0.0,0.0,0,15449,1951,4144,6095,9354,21777868,1872000,3457293,5329293,16448575
190,Wed,20140709,2014,07,09,80,62,71.0,0.0,0.0,0,13452,2613,6927,9541,3911,13370518,2328903,4842049,7171337,6199181
201,Sun,20140720,2014,07,20,82,60,71.0,0.0,0.0,0,14680,2079,4160,6239,8441,20135133,1949102,3377891,5326993,14808140
218,Wed,20140806,2014,08,06,80,62,71.0,0.0,0.0,0,13802,2562,7044,9606,4196,13649371,2193643,4949224,7142505,6506866
219,Thu,20140807,2014,08,07,81,61,71.0,0.0,0.0,0,13810,2382,6973,9354,4456,14057810,2012620,4712110,6723586,7334224
252,Tue,20140909,2014,09,09,79,63,71.0,0.01,0.0,0,11284,2228,6692,8920,2364,9853091,1751616,4459646,6211262,3641829
158,Sat,20140607,2014,06,07,84,57,70.5,0.08,0.0,0,15582,2080,4175,6255,9327,21254802,1910180,3375940,5286120,15968682
192,Fri,20140711,2014,07,11,81,60,70.5,0.01,0.0,0,12702,2124,6153,8280,4422,13607896,1740299,4230098,5973380,7634516
195,Mon,20140714,2014,07,14,80,61,70.5,0.2,0.0,0,11422,2092,6072,8165,3257,11450380,1738203,4248073,5986919,5463461
128,Thu,20140508,2014,05,08,89,51,70.0,0.1,0.0,0,10058,1574,5420,6994,3064,10430189,1367331,3897507,5264838,5165351
263,Sat,20140920,2014,09,20,77,63,70.0,0.12,0.0,0,8933,1448,3259,4707,4226,10310685,1131648,2273656,3405304,6905381
176,Wed,20140625,2014,06,25,80,59,69.5,0.0,0.0,0,11450,2159,6382,8541,2909,10724294,1810611,4345466,6156077,4568217
191,Thu,20140710,2014,07,10,79,60,69.5,0.0,0.0,0,14504,2640,7096,9737,4767,15075675,2448454,5054987,7503626,7572049
210,Tue,20140729,2014,07,29,81,58,69.5,0.01,0.0,0,12711,2449,7134,9583,3128,12032843,2056983,5115566,7172549,4860294
225,Wed,20140813,2014,08,13,82,57,69.5,0.0,0.0,0,13776,2519,7191,9710,4066,13416219,2215622,4980633,7196255,6219964
170,Thu,20140619,2014,06,19,79,59,69.0,0.32,0.0,0,10301,2067,5826,7893,2408,9786395,1775928,4215785,5991713,3794682
199,Fri,20140718,2014,07,18,79,59,69.0,0.0,0.0,0,15019,2528,7329,9857,5162,16371757,2221430,5316966,7538396,8833361
211,Wed,20140730,2014,07,30,79,59,69.0,0.0,0.0,0,13536,2506,7359,9865,3671,13147724,2051204,5184031,7235235,5912489
163,Thu,20140612,2014,06,12,79,58,68.5,0.0,0.0,0,10814,2123,6160,8285,2529,10472564,1964195,4436402,6402098,4070466
177,Thu,20140626,2014,06,26,78,59,68.5,0.0,0.0,0,11612,2076,6436,8512,3100,11699066,1730097,4549871,6279968,5419098
185,Fri,20140704,2014,07,04,79,58,68.5,0.0,0.0,0,15283,1662,3264,4928,10355,24254697,1561933,2742535,4305631,19949066
186,Sat,20140705,2014,07,05,77,60,68.5,0.0,0.0,0,14301,1435,3059,4494,9807,20963149,1333973,2467522,3801495,17161654
200,Sat,20140719,2014,07,19,80,57,68.5,0.0,0.0,0,17849,2464,4706,7168,10681,24998452,2271514,3732638,5989411,19009041
253,Wed,20140910,2014,09,10,80,56,68.0,1.31,0.0,0,6004,1214,3997,5211,793,4852840,1096656,2665353,3762009,1090831
272,Mon,20140929,2014,09,29,83,53,68.0,0.01,0.0,0,10377,1989,6128,8117,2260,9362198,1700426,4122394,5822820,3539378
229,Sun,20140817,2014,08,17,71,64,67.5,0.0,0.0,0,10862,1577,3196,4773,6089,13784784,1426056,2315875,3741931,10042853
249,Sat,20140906,2014,09,06,75,60,67.5,0.0,0.0,0,14097,2259,4328,6587,7510,17913716,1988639,3252592,5241231,12672485
275,Thu,20141002,2014,10,02,72,63,67.5,0.32,0.0,0,8668,1709,5863,7573,1095,6354829,1227681,3632553,4861247,1493582
204,Wed,20140723,2014,07,23,75,59,67.0,0.0,0.0,0,12748,2578,6917,9495,3253,12286139,2196161,4907347,7103508,5182631
250,Sun,20140907,2014,09,07,80,54,67.0,0.0,0.0,0,12489,1931,3797,5728,6761,16028116,1709957,3131135,4841092,11187024
131,Sun,20140511,2014,05,11,81,52,66.5,0.12,0.0,0,8360,900,2134,3034,5326,12329923,846872,1819980,2666852,9663071
